Fizik,8.06.2024,Soru 1: Bir nesnenin hızını hesaplama formülü nedir?,A) Hız = Yol / Zaman,B) Hız = Kuvvet / Kütle,C) Hız = Kütle * Hacim,D) Hız = Kuvvet * Hareket,E) Hız = Yol * Kütle,A
Fizik,8.06.2024,Soru2: Bir cismi etkileyen dış kuvvetin olmaması durumunda cisme ne denir?,A) Durağan,B) Denge,C) İvme,D) Ağırlık,E) Momentum,A
Fizik,8.06.2024,Soru3: Bir cismin ivmesi ne zaman sıfır olur?,A) Hızı değişmediği zaman,B) Hareket etmediği zaman,C) Hızı sabit olduğu zaman,D) Kuvvet etkisi olmadığı zaman,E) Kütle arttığı zaman,C
Fizik,8.06.2024,Soru4 : Bir cismi hareket ettiren etken nedir?,A) Ağırlık,B) Kütlesi,C) Hızı,D) İvmesi,E) İvmesi,E
Fizik,8.06.2024,Soru5 : Hareket eden bir cismi durdurmak için hangi etkene ihtiyaç duyulur?,A) Kütle,B) İvme,C) Sürtünme,D) Momentum,E) Hız,C
Matematik,9.06.2024,Soru1: 5 + 3 kaç eder?,A) 6,B) 7,C) 8,D) 9,E) 10,C
Matematik,9.06.2024,Soru2: 9 - 4 kaç eder?,A) 3,B) 4,C) 5,D) 6,E) 7,C
Matematik,9.06.2024,Soru3: 7 * 2 kaç eder?,A) 12,B) 13,C) 14,D) 15,E) 16,C
Matematik,9.06.2024,Soru4: 12 / 3 kaç eder?,A) 2,B) 3,C) 4,D) 5,E) 6,C
Matematik,9.06.2024,Soru5: 6 + 4 - 2 kaç eder?,A) 6,B) 7,C) 8,D) 9,E) 10,C
